,BLEU,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,METEOR,BERT_precision,BERT_recall,BERT_f1,Perplexity
0,0.06796401276755,0.7202797202797203,0.3377049180327869,0.4598214285714286,0.2605633802816901,0.12171052631578948,0.16591928251121074,0.40559440559440557,0.1901639344262295,0.2589285714285714,0.2199967261758327,0.8791404962539673,0.8339588046073914,0.8559538125991821,90.0
1,0.11007469443650987,0.6205357142857143,0.4186746987951807,0.5,0.23318385650224216,0.15709969788519637,0.18772563176895304,0.33035714285714285,0.22289156626506024,0.2661870503597122,0.2699676633644889,0.8709896206855774,0.8467053771018982,0.8586758375167847,121.00000000000003
2,0.08631661959843097,0.3576158940397351,0.6,0.44813278008298757,0.11627906976744186,0.19553072625698323,0.14583333333333331,0.23178807947019867,0.3888888888888889,0.2904564315352697,0.35465304485392707,0.85566246509552,0.8653959035873413,0.8605016469955444,130.99999999999994
3,0.054311553688227675,0.6228070175438597,0.2897959183673469,0.39554317548746515,0.24778761061946902,0.11475409836065574,0.1568627450980392,0.39473684210526316,0.1836734693877551,0.25069637883008355,0.223798950343157,0.8719111680984497,0.8366971611976624,0.8539412617683411,76.0
4,0.15053290575960773,0.5217391304347826,0.4897959183673469,0.5052631578947369,0.22950819672131148,0.2153846153846154,0.2222222222222222,0.375,0.3520408163265306,0.3631578947368421,0.308816409249611,0.8803884387016296,0.862515926361084,0.8713605403900146,95.0
5,0.13357549493923443,0.46504559270516715,0.5953307392996109,0.5221843003412969,0.18292682926829268,0.234375,0.2054794520547945,0.2948328267477204,0.377431906614786,0.33105802047781574,0.37111283166925346,0.8766817450523376,0.8706092238426208,0.873634934425354,117.00000000000003
6,0.1793621919053638,0.4279661016949153,0.7481481481481481,0.5444743935309972,0.20851063829787234,0.3656716417910448,0.26558265582655827,0.2669491525423729,0.4666666666666667,0.33962264150943394,0.3902791684525599,0.8713220357894897,0.8880980014801025,0.8796300888061523,118.00000000000004
7,0.15601096503839593,0.5759493670886076,0.5055555555555555,0.5384615384615384,0.16560509554140126,0.1452513966480447,0.15476190476190477,0.3227848101265823,0.2833333333333333,0.30177514792899407,0.39023515048068586,0.8756416440010071,0.8738606572151184,0.8747501969337463,108.00000000000003
8,0.04448153706711812,0.5765765765765766,0.2807017543859649,0.3775811209439528,0.2,0.09691629955947137,0.13056379821958455,0.35135135135135137,0.17105263157894737,0.23008849557522124,0.15440832126974352,0.8696465492248535,0.844010591506958,0.8566368222236633,77.00000000000001
9,0.1133280803574195,0.49238578680203043,0.60625,0.5434173669467787,0.15306122448979592,0.18867924528301888,0.16901408450704228,0.27411167512690354,0.3375,0.3025210084033613,0.3830447171854831,0.8670651912689209,0.8711792230606079,0.8691173195838928,101.99999999999996
10,0.07128415474427482,0.7391304347826086,0.35864978902953587,0.48295454545454547,0.2719298245614035,0.13135593220338984,0.17714285714285716,0.4434782608695652,0.21518987341772153,0.2897727272727273,0.23376622255952667,0.8845678567886353,0.8470708131790161,0.8654133081436157,79.99999999999997
11,0.09732443368111761,0.5723270440251572,0.5652173913043478,0.56875,0.1518987341772152,0.15,0.1509433962264151,0.3081761006289308,0.30434782608695654,0.30625,0.32055081548774533,0.8699585199356079,0.8691973686218262,0.8695778250694275,98.00000000000004
12,0.14596878748410155,0.5035971223021583,0.4666666666666667,0.4844290657439446,0.15217391304347827,0.14093959731543623,0.14634146341463414,0.30935251798561153,0.2866666666666667,0.2975778546712803,0.32239076444318104,0.8631917834281921,0.8618861436843872,0.8625384569168091,94.0
13,0.2307204287334199,0.5732217573221757,0.7061855670103093,0.6327944572748269,0.3025210084033613,0.37305699481865284,0.334106728538283,0.4100418410041841,0.5051546391752577,0.4526558891454965,0.4442179894099156,0.9093017578125,0.9056869745254517,0.9074907898902893,92.00000000000001
14,0.06370636667246403,0.7016574585635359,0.39197530864197533,0.5029702970297029,0.25555555555555554,0.14241486068111456,0.18290258449304178,0.46408839779005523,0.25925925925925924,0.33267326732673264,0.26518335673506765,0.8710145950317383,0.833570122718811,0.8518810868263245,92.00000000000001
15,0.11996948719474058,0.4744897959183674,0.5849056603773585,0.5239436619718308,0.14871794871794872,0.18354430379746836,0.1643059490084986,0.2653061224489796,0.3270440251572327,0.29295774647887324,0.3997922028623648,0.8718923330307007,0.880682110786438,0.8762651681900024,107.00000000000006
16,0.20490080480529682,0.47019867549668876,0.6574074074074074,0.5482625482625483,0.23333333333333334,0.32710280373831774,0.2723735408560311,0.3443708609271523,0.48148148148148145,0.4015444015444015,0.5359671882055288,0.8672972321510315,0.8841592669487,0.8756470680236816,101.00000000000003
17,0.09083302555668264,0.4177777777777778,0.5402298850574713,0.4711779448621554,0.16071428571428573,0.20809248554913296,0.18136020151133503,0.26222222222222225,0.3390804597701149,0.29573934837092736,0.3112259135948681,0.8615005612373352,0.8686379194259644,0.8650545477867126,129.99999999999997
18,0.009804159658537821,0.42857142857142855,0.09933774834437085,0.16129032258064516,0.029411764705882353,0.006666666666666667,0.010869565217391306,0.2571428571428571,0.059602649006622516,0.0967741935483871,0.05833905284831846,0.8235775232315063,0.7876904606819153,0.8052343130111694,31.0
19,0.15760855211566502,0.5158730158730159,0.5676855895196506,0.5405405405405405,0.19123505976095617,0.21052631578947367,0.20041753653444677,0.2976190476190476,0.32751091703056767,0.3118503118503118,0.35183528151799154,0.872024416923523,0.8580214381217957,0.8649662733078003,104.99999999999997
20,0.11906597705739415,0.35585585585585583,0.6752136752136753,0.46607669616519176,0.11764705882352941,0.22413793103448276,0.15430267062314537,0.22522522522522523,0.42735042735042733,0.2949852507374631,0.34928845867971775,0.8534436821937561,0.8764165043830872,0.8647775650024414,121.00000000000003
21,0.131132925538947,0.5185185185185185,0.5384615384615384,0.5283018867924528,0.20496894409937888,0.2129032258064516,0.20886075949367086,0.3333333333333333,0.34615384615384615,0.33962264150943394,0.36847283164352046,0.886116623878479,0.8701014518737793,0.8780360221862793,88.00000000000003
22,0.061538248603890705,0.2617801047120419,0.5263157894736842,0.34965034965034963,0.08947368421052632,0.18085106382978725,0.11971830985915492,0.17801047120418848,0.35789473684210527,0.23776223776223776,0.27957228842520754,0.8460830450057983,0.8708384037017822,0.8582822680473328,97.0
23,0.1424888631177166,0.4981949458483754,0.5149253731343284,0.5064220183486239,0.16666666666666666,0.17228464419475656,0.1694290976058932,0.2490974729241877,0.2574626865671642,0.25321100917431194,0.31105727931320437,0.8673787117004395,0.8505855798721313,0.8589000105857849,113.00000000000003
24,0.11188637692212734,0.6518987341772152,0.3931297709923664,0.49047619047619045,0.25477707006369427,0.1532567049808429,0.1913875598086124,0.43037974683544306,0.2595419847328244,0.32380952380952377,0.2626480348800438,0.8725168704986572,0.8691218495368958,0.8708161115646362,98.99999999999999
25,0.054932623761863544,0.7887323943661971,0.28717948717948716,0.42105263157894735,0.3617021276595745,0.13110539845758354,0.19245283018867923,0.5492957746478874,0.2,0.2932330827067669,0.18533442841743236,0.8916160464286804,0.8506754040718079,0.8706647157669067,90.0
26,0.11794344621804977,0.5681818181818182,0.3787878787878788,0.4545454545454546,0.22900763358778625,0.15228426395939088,0.18292682926829268,0.3409090909090909,0.22727272727272727,0.2727272727272727,0.26715217164550237,0.8904344439506531,0.8421520590782166,0.865620493888855,74.99999999999997
27,0.08924072385187634,0.5375722543352601,0.3549618320610687,0.42758620689655175,0.16279069767441862,0.10727969348659004,0.12933025404157042,0.31213872832369943,0.20610687022900764,0.24827586206896557,0.23376229566979354,0.864063024520874,0.8528315424919128,0.8584105372428894,98.99999999999999
28,0.15584324508303346,0.4172661870503597,0.4715447154471545,0.4427480916030535,0.18840579710144928,0.21311475409836064,0.2,0.2517985611510791,0.2845528455284553,0.2671755725190839,0.2959043175759152,0.8620482087135315,0.8625718355178833,0.8623098731040955,79.0
